CASENUM,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1132,64.27,70.91,73.38,79.33,80.97,82.22
1133,NA,NA,NA,44.12,NA,41.67
1134,56.59,62.41,65.24,71.14,72.14,NA
1135,47.43,45.81,57.33,54.03,61.44,65.91
1136,NA,NA,NA,62.85,NA,NA
1137,49.54,54.09,53.98,54.97,66.5,NA
1138,45.91,38.08,34.93,31.15,NA,NA
1139,NA,NA,NA,55.87,53.68,64.94
1140,71.99,75.24,77.85,81.31,79.76,76.2
1141,NA,NA,NA,44.54,38.75,44.31
1142,55.55,55.45,63.01,64.36,64.23,68.36
1143,NA,NA,NA,42.62,51.36,46.67
1144,27.75,31.03,43.01,36.3,NA,NA
1145,44.5,NA,NA,NA,NA,NA
1146,62.34,55.62,64.85,70.68,74.12,85.51
1147,NA,NA,NA,63.28,67.68,68.06
1148,NA,NA,NA,59.72,NA,62.12
1149,51.46,53.81,55.91,61.14,63.61,63.26
1150,57.31,NA,62.03,61.08,NA,NA
1151,37.83,NA,NA,NA,NA,NA
1152,35.81,NA,NA,NA,NA,NA
1153,34.66,35.73,41.63,50.26,NA,NA
1154,NA,NA,NA,64.13,64.84,64.13
1155,51.71,53.55,64.21,63.47,57.6,67.22
1156,NA,NA,NA,52.27,48.27,53.43
1157,NA,NA,NA,63.38,66.6,63.69
1158,63.54,66.07,70.58,67.28,74.98,NA
1159,43.59,53.99,NA,NA,62.4,NA
1160,NA,NA,NA,52.26,NA,NA
1161,NA,NA,NA,74.33,79.78,81.01
1162,NA,NA,NA,48.52,43.63,39.61
1163,64.47,69.87,74.24,67.96,78.47,NA
1164,NA,NA,NA,60.71,65.23,65.94
1165,50.43,53.7,57.84,51.85,NA,NA
1166,NA,NA,NA,64.1,65.66,NA
1167,52.49,46.48,67.95,79.24,NA,NA
1168,52.04,NA,NA,NA,NA,NA
1169,52.41,53.45,NA,NA,NA,NA
1170,36.57,NA,45.83,NA,NA,NA
1171,NA,NA,NA,55.34,58.82,65.1
1172,35.71,38.34,NA,47.01,57.45,60.29
1173,54.29,51.44,61.97,65.46,68.93,68.79
1174,44.47,37.11,33.97,49.46,NA,NA
1175,48.02,47.17,60.06,55.66,52.84,55.03
1176,51.16,NA,NA,NA,NA,NA
1177,45.76,48.95,57.91,NA,NA,NA
1178,74.28,75.47,75.44,78.03,79.94,80.64
1179,NA,NA,NA,53.14,64.65,63.14
1180,NA,NA,NA,NA,NA,NA
1181,47.14,59.06,56.42,47.46,NA,NA
1182,NA,NA,NA,62.77,NA,NA
1183,47.92,52.09,60.91,64.87,64.94,65.78
1184,44.03,51.6,62.25,61.72,66.37,61.42
1185,NA,NA,NA,75.29,80.55,82.39
1186,44.15,45.16,NA,NA,NA,NA
1187,NA,NA,NA,46.13,NA,42.67
1188,NA,NA,NA,64.1,70.59,68.61
1189,NA,NA,NA,51.87,52.75,46.79
1190,70.49,75.4,76.64,77.19,82.85,88.12
1191,54.85,62.45,65.17,64.96,69.15,71.1
1192,NA,NA,NA,60.11,56.75,61.57
1193,48.51,49.09,60.28,53.71,58.79,NA
1194,58.5,69.76,NA,68.05,NA,NA
1195,43.27,NA,NA,NA,NA,NA
1196,64.05,62.04,75.76,74.65,NA,NA
1197,NA,NA,NA,60.37,70.17,67.89
1198,58.43,64.38,61.42,59.24,66.24,NA
1199,41.75,NA,NA,NA,NA,NA
1200,NA,NA,NA,54.93,55.08,55.17
1201,NA,NA,NA,55.55,66.97,68.54
1202,50.54,46.31,56.01,52.08,61.46,NA
1203,NA,NA,NA,46.8,39,33.02
1204,NA,NA,NA,52.54,66.32,72.24
1205,NA,NA,NA,54.27,63.19,NA
1206,NA,NA,NA,82.02,NA,NA
1207,NA,NA,NA,64.64,68.59,68.71
1208,48.91,50.45,54.22,68.42,67.32,62
1209,66.49,76.29,76.36,NA,81.33,NA
1210,NA,NA,NA,41.33,39.36,48.16
1211,49.26,NA,NA,NA,NA,NA
1212,50.64,NA,NA,NA,58.57,79.12
1213,NA,NA,NA,NA,NA,NA
1214,63.89,70.26,68.14,74.8,82.21,NA
1215,NA,NA,NA,70.1,67.12,NA
1216,NA,NA,NA,52.37,63.86,66.22
1217,56.61,NA,NA,NA,58.41,NA
1218,45.46,43.82,43.4,50.2,54.3,NA
1219,44.38,46.8,56.55,NA,54.98,50.66
1220,NA,NA,NA,59.12,65.93,66.2
1221,NA,NA,NA,70.43,NA,NA
1222,41.09,50.06,63.47,NA,63.58,64.41
1223,65.04,NA,NA,NA,NA,NA
1224,NA,NA,NA,62.23,60.43,58.25
1225,62.86,71.4,72.1,78,73.45,79.32
1226,NA,NA,NA,62.56,NA,57.55
1227,35.5,31.94,30.62,28.29,36.63,NA
1228,38.84,44.52,NA,NA,NA,NA
1229,44.46,46.8,NA,54.31,55.97,57.11
1230,NA,NA,NA,71.02,NA,79.72
1231,44.58,44.49,NA,39.62,41.56,NA
1232,65.46,66.54,78.91,NA,78.18,85.21
1233,49.26,58.09,58.88,59.45,58.81,NA
1234,51.55,61.88,57.4,56.3,63.37,58.07
1235,47.04,50.89,64.88,66.78,NA,68.65
1236,56.63,53.41,63.22,71.44,74.02,NA
1237,NA,NA,NA,49.38,NA,47.92
1238,52.61,NA,46.86,NA,NA,NA
1239,NA,NA,NA,72.68,77.54,69.93
1240,NA,NA,NA,68.14,77.22,NA
1241,NA,NA,NA,60.34,NA,62.06
1242,44.29,36.31,46.75,NA,42.02,37.1
1243,NA,NA,NA,51.22,NA,NA
1244,55.43,54.57,63.09,65.27,66.62,69.57
1245,50.59,60.74,59.34,NA,62.52,64.97
1246,NA,NA,NA,61.92,NA,48.39
1247,47.75,46.13,59.79,NA,NA,NA
1248,NA,NA,NA,56.19,50.19,49.06
1249,NA,NA,NA,41.87,NA,NA
1250,50.49,58.07,61.69,61.2,62.96,NA
1251,NA,NA,NA,68.2,73.19,77.84
1252,36.81,NA,NA,NA,NA,NA
1253,49.37,46.3,NA,NA,NA,NA
1254,47.08,49.54,66.8,63.89,NA,NA
1255,NA,NA,NA,51.29,56.85,61.48
1256,46.68,45.12,53.63,NA,NA,NA
1257,57.14,60.21,NA,NA,NA,NA
1258,NA,NA,NA,58.01,54.11,57.65
1259,32.19,31.06,NA,NA,NA,NA
1260,38.01,NA,39.04,34.2,NA,NA
1261,66.48,NA,69.77,70.12,73.56,NA
1262,NA,NA,NA,62.41,71.33,NA
1263,NA,NA,NA,54.77,61.28,NA
1264,NA,NA,NA,56.27,NA,NA
1265,NA,NA,NA,54.36,67.71,63.99
1266,55.18,64.68,71.35,62.72,64.17,63.5
1267,NA,NA,NA,74.28,77.25,NA
1268,53.83,58.89,NA,NA,NA,NA
1269,NA,NA,NA,60.36,NA,68.64
1270,42.62,36.04,NA,NA,NA,NA
1271,NA,NA,NA,48.28,60.35,64.81
1272,NA,NA,NA,NA,54.56,60.73
1273,NA,NA,NA,NA,NA,NA
1274,52.1,49.77,NA,NA,NA,NA
1275,NA,NA,NA,69.53,NA,NA
1276,NA,NA,NA,62.54,68.58,62.49
1277,NA,NA,NA,58.12,NA,NA
1278,NA,NA,NA,NA,NA,NA
1279,NA,NA,NA,48.43,42.34,NA
1280,NA,NA,NA,52.66,58.32,61.63
1281,49.51,NA,NA,NA,NA,NA
1282,51.87,49.7,56.1,48.53,64.35,69.69
1283,NA,NA,NA,60.06,62.31,67.66
1284,48.92,57.87,58.73,64.7,NA,NA
1285,59.19,NA,NA,63.15,NA,NA
1286,NA,NA,NA,60.02,62.6,NA
1287,69.03,71.36,72.24,72.77,73.41,82.83
1288,44.48,48.99,44.63,60.5,NA,NA
1289,88.03,83.26,84.66,91.33,NA,NA
1290,NA,NA,NA,53.2,55.11,65.04
1291,NA,NA,NA,61.47,62.01,65.25
1292,42.25,NA,34.93,31.16,33.97,30.9
1293,NA,NA,NA,46.18,52.26,57.77
1294,NA,NA,NA,53.26,NA,NA
1295,44.89,57,58.25,63.41,63.37,NA
1296,46.42,55.23,60.63,61.07,NA,NA
1297,32.84,34.18,52.42,NA,64.29,NA
1298,NA,NA,NA,77.53,80.77,77.02
1299,NA,NA,NA,57.92,NA,NA
1300,36.03,35.25,NA,NA,NA,NA
1301,39.48,NA,49.87,NA,NA,NA
1302,NA,NA,NA,77.31,74.84,73.81
1303,49.86,58.72,NA,NA,NA,NA
1304,NA,NA,NA,71.09,72.28,NA
1305,49.57,55.45,66.95,63.89,NA,NA
1306,61.38,62.06,68.08,63.96,68.97,70.3
1307,NA,NA,NA,44.23,NA,NA
1308,NA,NA,NA,42.89,52.07,57.02
1309,42.72,54.76,NA,NA,NA,NA
1310,NA,NA,NA,80,NA,87.6
1311,NA,NA,NA,66.11,NA,65.32
1312,37.15,60.35,NA,NA,NA,NA
1313,69.19,64.02,76.85,NA,NA,81.98
1314,NA,NA,NA,48.68,53.62,55.45
1315,NA,NA,NA,59.69,55.6,60.53
1316,48.75,49.45,50.56,53,55.11,NA
1317,NA,NA,NA,74.71,77.81,76.96
1318,NA,NA,NA,40.14,38.47,NA
1319,45.12,31.24,56.76,51.73,49.62,NA
1320,47.5,50.61,NA,NA,NA,NA
1321,41.26,34.76,49.79,51.91,NA,NA
1322,37.48,NA,NA,NA,NA,NA
1323,51.26,60.06,62.15,64.63,NA,NA
1324,44.59,42,NA,NA,NA,NA
1325,57.19,61.13,NA,NA,NA,NA
1326,NA,NA,NA,53.23,NA,NA
1327,NA,NA,NA,80.42,82.82,85.26
1328,NA,NA,NA,43.13,52.49,62.6
1329,35.9,39.66,48.7,58.08,NA,NA
1330,47.74,48.77,60.49,59.62,65.09,63.81
1331,41.58,45.87,NA,NA,NA,NA
1332,52.39,45.1,55.15,52.26,NA,NA
1333,NA,NA,NA,42.52,39.66,43.34
1334,NA,NA,NA,52.11,67.4,64.91
1335,33.79,35.84,NA,NA,NA,NA
1336,NA,NA,NA,59.43,58.86,60.7
1337,NA,NA,NA,52.53,62.5,59.17
1338,NA,NA,NA,59.4,NA,56.94
1339,NA,NA,NA,69.31,77.14,79.43
1340,NA,NA,NA,55.23,NA,NA
1341,52.37,59.5,59.76,NA,NA,NA
1342,68.92,70.22,73.7,77.99,79.08,NA
1343,36.43,41.99,49.76,NA,46.18,50.96
1344,NA,NA,NA,51.91,57.32,57.81
1345,30.26,53.99,56.56,55.79,58,NA
1346,58.46,73.73,72.6,78.56,80.11,77.01
1347,NA,NA,NA,54.4,NA,NA
1348,NA,NA,NA,61.89,61.51,60.82
1349,41.91,39.91,38.66,NA,NA,NA
1350,40.07,36.39,36.02,41.14,37.97,42.6
1351,44.44,NA,NA,NA,NA,NA
1352,62.58,71.51,72.62,78.66,73.46,74.64
1353,NA,NA,NA,60.78,62.06,62.83
1354,49.51,60.4,59.56,66.03,73.46,74.13
1355,73.18,72.84,76.93,81.15,85.6,NA
1356,34.69,30.38,46.31,NA,NA,NA
1357,NA,NA,NA,55.44,60.06,61.15
1358,NA,NA,NA,54.03,NA,NA
1359,NA,59.08,71.43,67.41,76.41,81.02
1360,NA,NA,NA,65.33,70.32,73.5
1361,NA,NA,NA,72.97,82.69,84.51
1362,47.53,47.96,52.56,58.19,50.2,53.18
