CASENUM,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
2422,42.32,NA,NA,NA,NA,NA
2423,NA,NA,NA,39.66,38.07,36.1
2424,66.21,66.3,70.86,69.81,NA,NA
2425,NA,NA,NA,71.16,NA,NA
2426,56.62,71.38,NA,NA,64.53,65.24
2427,29.12,38.63,39.71,46.77,43.09,54.29
2428,NA,NA,NA,70.79,75.53,75.87
2429,44.07,39.69,41.26,51.57,NA,NA
2430,NA,NA,NA,53.26,48.63,58.18
2431,NA,NA,NA,66.83,72.24,79.07
2432,NA,NA,NA,50.63,58.26,NA
2433,NA,NA,NA,54.84,62.92,65.9
2434,55.59,60.49,62,66.71,65.77,77.08
2435,59.59,NA,NA,NA,53.4,67.88
2436,36.76,39.15,53.38,56.79,64.43,62.39
2437,63.01,71.42,70.42,73.52,79.04,81.68
2438,36.12,51.57,NA,NA,NA,NA
2439,61.62,71.89,67.66,70.97,77.6,NA
2440,NA,NA,NA,77.23,76.74,73.21
2441,52.06,NA,NA,NA,NA,NA
2442,NA,NA,NA,52.96,50.97,54.02
2443,45.76,41.88,48.86,NA,NA,NA
2444,41.92,NA,NA,NA,NA,NA
2445,NA,NA,NA,63.32,70.37,NA
2446,50.77,57.76,60.67,62.77,NA,62.51
2447,55.15,61.29,63.37,65.98,NA,NA
2448,NA,NA,NA,38.55,NA,NA
2449,NA,NA,NA,81.95,NA,NA
2450,31.38,38.31,46.04,39.09,42.79,NA
2451,NA,NA,NA,64.87,NA,NA
2452,40.4,67.11,NA,NA,63.18,63.83
2453,51.81,53.44,51.39,NA,NA,NA
2454,NA,NA,NA,54.17,NA,NA
2455,NA,NA,NA,63.84,74.59,68.33
2456,NA,NA,NA,34.81,NA,NA
2457,59.04,NA,73.61,67.25,NA,NA
2458,45.48,NA,NA,NA,NA,NA
2459,48.86,NA,69.43,74.2,80.09,NA
2460,39.6,43.64,43.69,54.07,45.4,NA
2461,NA,NA,NA,NA,NA,NA
2462,NA,NA,NA,67.86,67.02,NA
2463,44.71,38.84,54.83,NA,NA,NA
2464,43.02,48.13,53.45,45.25,NA,46
2465,59.23,62.07,NA,NA,NA,NA
2466,36.62,53.63,67.93,NA,66.97,67.87
2467,60.01,59.33,71.68,74.63,NA,79.88
2468,NA,NA,NA,73.04,81.91,NA
2469,57.6,59.55,63.9,62.14,62.65,NA
2470,NA,NA,NA,57.67,52.32,52.46
2471,41.77,NA,47,55.48,58.84,NA
2472,NA,NA,NA,67.95,NA,NA
2473,NA,NA,NA,50.91,NA,57.2
2474,53.37,51.28,62.29,65.74,61.93,57.5
2475,NA,NA,NA,NA,NA,NA
2476,41.73,40.25,NA,NA,NA,NA
2477,NA,NA,NA,77.9,80.36,79.15
2478,NA,NA,NA,56.38,63.45,NA
2479,NA,NA,NA,44.87,54.66,55.73
2480,NA,NA,NA,41.75,47.81,48.52
2481,NA,NA,NA,75.12,75.07,76.87
2482,44.21,48.93,56.2,52.22,47.15,42.95
2483,NA,NA,NA,59.91,NA,NA
2484,NA,NA,NA,47.82,57.29,61.34
2485,39.86,NA,42.21,47.94,NA,NA
2486,NA,NA,NA,43.04,NA,55.89
2487,57.25,72.25,72.81,72.92,NA,NA
2488,50.58,46.82,61.95,68.36,69.12,NA
2489,47.63,55.36,53.19,NA,NA,NA
2490,72.92,NA,77.37,NA,NA,NA
2491,NA,NA,NA,68.93,NA,68.56
2492,NA,NA,NA,61.02,NA,NA
2493,NA,NA,NA,57.73,57.14,62.62
2494,45.31,51.26,48.62,57.36,52.56,NA
2495,50.97,46.51,NA,NA,NA,NA
2496,NA,NA,NA,NA,NA,NA
2497,NA,NA,NA,83.09,83.53,87.16
2498,39.4,51.46,48.33,61.24,53.09,46.34
2499,NA,NA,NA,55.35,55.35,NA
2500,57.82,62.65,62.83,NA,NA,67.6
2501,42.25,NA,NA,NA,NA,NA
2502,69.85,72.71,77.52,80.57,83.65,85.14
2503,NA,NA,NA,55.13,59.19,60.9
2504,NA,NA,NA,54.42,57.7,NA
2505,NA,NA,NA,59.84,64.43,75.11
2506,NA,NA,NA,49.06,59.2,NA
2507,NA,NA,NA,61.49,70.37,65.08
2508,56.45,50.61,67.55,NA,NA,NA
2509,NA,NA,NA,69.29,75.56,75.81
2510,58.93,66.88,69.1,72.21,NA,NA
2511,58.73,NA,NA,NA,NA,NA
2512,NA,NA,NA,80.51,84.06,85.08
2513,NA,NA,NA,58.24,55.61,NA
2514,44.72,47.2,51.39,52.17,60.62,NA
2515,NA,NA,NA,56.91,65.13,61.5
2516,NA,NA,NA,66.04,63.71,57.65
2517,NA,NA,NA,55.67,59.15,61.78
2518,NA,NA,NA,66.02,69.93,67.24
2519,NA,NA,NA,55.43,64.54,63.33
2520,NA,NA,NA,57.95,61.93,66.72
2521,NA,NA,NA,50.42,65.15,70.83
2522,35.22,67.11,61.33,NA,NA,NA
2523,NA,NA,NA,63.24,64.12,71.13
2524,41.61,53.55,56.16,NA,61.84,66.48
2525,48.7,57.24,67.42,72.63,74.67,74.3
2526,NA,NA,NA,61.51,57.75,NA
2527,32.93,41.2,48.95,NA,50.05,NA
2528,35.23,44.17,45.65,44.27,53.16,NA
2529,NA,NA,NA,64.38,NA,NA
2530,NA,NA,NA,44.19,67.18,NA
2531,41.01,54.46,57.19,51.7,53.21,NA
2532,NA,NA,NA,72.12,74.05,69.15
2533,NA,NA,NA,54.58,70.32,NA
2534,67.13,69.81,75.61,NA,NA,NA
2535,57.2,56.42,58.54,59.96,62.24,NA
2536,NA,NA,NA,62.66,NA,44.27
2537,NA,NA,NA,54.84,NA,NA
2538,NA,NA,NA,68.84,67.54,73.98
2539,40.52,55.46,62.56,67.86,70.2,72.08
2540,58.55,62.96,NA,NA,NA,NA
2541,NA,NA,NA,72.99,72.74,77.32
2542,46.44,64.39,64.94,59.53,68.72,NA
2543,40.01,NA,NA,NA,NA,NA
2544,37.6,NA,37.88,NA,NA,38.16
2545,52.16,59.17,57.68,64.08,67.43,75.65
2546,NA,NA,NA,66.14,71.51,70.4
2547,46.56,52.26,54.08,60.8,NA,45.31
2548,46.28,63.26,62.42,70.78,70.02,72.62
2549,NA,NA,NA,49.46,NA,NA
2550,NA,NA,NA,54.53,67.22,70.13
2551,NA,NA,NA,71.81,83.09,NA
2552,67.59,67.58,71.15,71.77,75.73,NA
2553,49.21,NA,NA,NA,NA,NA
2554,54.49,60.04,64.65,67.34,71.37,74.61
2555,46.94,NA,61.86,NA,NA,NA
2556,42.54,NA,38.56,53.54,NA,NA
2557,NA,NA,NA,55.66,58.88,58.21
2558,61.18,60.94,NA,NA,NA,NA
2559,58.76,69.13,62.98,73.13,80.76,NA
2560,NA,NA,NA,54.77,NA,44.62
2561,35.22,49.37,42.35,44.51,NA,46.15
2562,NA,NA,NA,52.31,47.4,NA
2563,58.77,62.24,69.95,70.5,NA,78.59
2564,33.21,43.58,44.81,NA,NA,NA
2565,NA,NA,NA,68.87,76.29,NA
2566,53.23,54.02,64.23,57.57,65.67,NA
2567,NA,NA,NA,52.41,68.59,70.06
2568,44.39,60.59,66.59,NA,NA,NA
2569,54.35,NA,56.11,50.29,NA,NA
2570,NA,NA,NA,57.96,NA,59.89
2571,NA,NA,NA,52.18,NA,NA
2572,NA,NA,NA,70.44,70.45,NA
2573,63.11,71.05,NA,61.39,NA,NA
2574,NA,NA,NA,44.09,39.93,NA
2575,36.96,36.77,65.26,70.57,70.78,67.61
2576,53.76,60.41,69.83,68.57,70.38,NA
2577,42.06,NA,NA,NA,NA,NA
2578,68.89,NA,62.53,NA,NA,NA
2579,NA,NA,NA,54.44,NA,NA
2580,44.08,50.11,61.58,59.44,NA,NA
2581,68.24,NA,NA,NA,NA,NA
2582,NA,NA,NA,NA,NA,NA
2583,45.64,52.11,61.85,61.38,68.36,64.97
2584,41.65,37.66,NA,NA,NA,NA
2585,NA,NA,NA,49.43,50.23,46.33
2586,54.88,56.75,60.45,61.91,69.6,NA
2587,NA,NA,NA,60.26,65.53,63.14
2588,NA,NA,NA,71.55,66.74,64.58
2589,NA,NA,NA,50.27,NA,NA
2590,39.75,47.52,49.11,59.64,52.78,45.47
2591,NA,NA,NA,57.07,59.28,NA
2592,NA,NA,NA,68.49,69.77,NA
2593,51.37,52.94,64.82,65.79,69.13,NA
2594,NA,NA,NA,67.41,73.13,73.4
2595,NA,NA,NA,69.04,70.69,67.52
2596,NA,62.95,66.66,NA,NA,NA
2597,44.76,53,55.69,56.27,NA,65.61
2598,59.14,68.39,72.54,79.11,79.57,81.7
2599,72.69,67.07,72.31,74.27,82.3,81.54
2600,NA,NA,NA,58.16,66.82,61.7
2601,42.06,NA,NA,NA,NA,NA
2602,NA,NA,NA,51.41,63.73,68.12
2603,NA,NA,NA,45.77,59.37,71.42
2604,65.97,NA,NA,NA,NA,NA
2605,55.08,54,57.14,60.34,66.27,66.93
2606,49.54,NA,NA,50.61,NA,NA
2607,NA,NA,NA,73.42,NA,NA
2608,NA,NA,NA,64.85,65.36,65.37
2609,41.78,47.78,51.66,NA,NA,NA
2610,64.75,63.37,NA,NA,NA,NA
2611,NA,NA,NA,59.32,NA,51.76
2612,NA,NA,NA,48.89,NA,NA
2613,NA,NA,NA,71.83,78.27,79.58
2614,45.57,47.21,56.59,53.97,57.27,NA
2615,NA,NA,NA,41.32,62.43,NA
2616,53.15,NA,64.81,66.54,76.31,83
2617,52.5,NA,54.94,61.83,NA,68.28
2618,61.5,67.31,66.95,69.48,73.74,77.84
2619,54.48,NA,60.59,62.69,67.29,NA
2620,63.12,58.49,60.8,64.23,63.14,61.85
2621,63.76,67.22,70.22,NA,NA,78.47
2622,54.1,63.1,60.53,66.74,NA,NA
2623,50.07,42.57,53.06,62.92,57.38,56.79
2624,NA,NA,NA,48.33,67.78,71.68
2625,59.16,61.58,70,64.52,68.03,61.38
2626,54.27,NA,NA,NA,NA,NA
2627,37.72,36.65,38.85,35.89,35.81,NA
2628,47.31,42.67,44.97,41.52,42.01,NA
2629,NA,NA,NA,57.48,57.57,61.66
2630,49.53,58.05,59.7,61.41,65.22,67.5
2631,NA,NA,NA,56.44,NA,NA
2632,39.75,46.96,46.53,51.09,NA,56.17
2633,NA,NA,NA,58.51,NA,NA
2634,48.33,56.67,68.28,61.31,NA,NA
2635,56.68,61.03,61.32,70.3,73.66,75.3
2636,54.93,64.63,64.56,62.4,66.7,67.26
2637,42.96,55.21,62.81,66.73,65.69,69.08
2638,53.81,61.16,70.91,NA,77.77,77.45
2639,NA,NA,NA,64.34,69.51,69.72
2640,NA,NA,NA,74.98,NA,NA
2641,65.73,67.95,70.85,71.29,NA,73.23
2642,44.14,46.95,56.85,51.79,64.89,NA
2643,58.08,NA,71.32,NA,65.94,NA
2644,NA,NA,NA,67.98,69.8,62.73
2645,59.63,62.95,73.31,65.83,NA,NA
2646,NA,NA,NA,50.58,62.58,62.14
2647,56.06,NA,NA,NA,NA,NA
2648,NA,NA,NA,58.38,54.17,64.64
2649,NA,NA,NA,66.77,NA,NA
2650,65.68,66.67,73.52,68.86,74.33,NA
2651,31.27,33.49,42.27,NA,NA,NA
2652,63.22,59.23,60.36,62.95,NA,NA
2653,51.47,NA,NA,NA,NA,NA
2654,NA,NA,NA,61.96,76.25,70.34
2655,NA,NA,NA,52.24,47.58,49.37
2656,NA,NA,NA,61.7,NA,NA
2657,58.72,54.37,54.12,60.28,64,NA
2658,42.93,NA,34.8,45.35,49.37,42.19
2659,46.72,50.33,NA,NA,NA,NA
2660,NA,NA,NA,60.37,55.01,52.36
2661,56.7,NA,67.51,73.92,82.2,77.59
2662,47.11,64.42,NA,NA,NA,NA
2663,39.25,NA,39.9,44.72,NA,NA
2664,38.06,52.38,59.29,60.01,NA,NA
2665,49.52,NA,NA,NA,NA,NA
2666,NA,NA,NA,NA,NA,NA
2667,NA,NA,NA,81.53,79.07,80.39
2668,NA,NA,NA,69.97,75.17,74.07
2669,46.2,46.88,43.16,54.23,NA,NA
2670,NA,NA,NA,75.88,76.47,67.68
2671,33.26,NA,37.62,35.07,31,NA
2672,47.7,58.72,65,63.39,66.24,63.87
2673,59.77,67.25,68.98,69.12,77.24,71.58
2674,56.19,57.88,69.7,NA,61.77,68.48
2675,NA,NA,NA,60.02,NA,NA
2676,55.14,51.18,49.71,65.52,NA,NA
2677,50.2,51.81,55.9,67.58,62.12,NA
2678,NA,NA,NA,56.85,66.11,NA
2679,64.06,76.09,79.17,78.95,79.79,86.45
2680,52.31,53.67,NA,67.6,64.35,NA
2681,NA,NA,NA,75.56,75.71,66.35
2682,44.92,NA,NA,NA,NA,NA
2683,38.84,53.14,55.65,NA,48.37,53.57
2684,NA,NA,NA,NA,NA,NA
2685,NA,NA,NA,47.81,NA,NA
2686,NA,NA,NA,64.81,70.06,71.47
2687,52.76,55.49,NA,70.49,NA,NA
2688,NA,NA,NA,49.92,52.78,53.61
2689,56.23,NA,67.38,78.25,NA,NA
2690,NA,NA,NA,71.13,NA,NA
2691,36.74,40.55,47.71,54.52,55.98,52.4
2692,36.76,61.36,59.62,NA,56.56,NA
2693,46.75,53.56,55.3,58.22,54.06,53.29
2694,40.37,NA,NA,NA,NA,NA
2695,57.61,57.86,55.31,65.18,64.27,65.22
2696,NA,NA,NA,67.07,70.79,70.86
2697,48.58,64.15,70.28,67.28,74.11,NA
2698,NA,NA,NA,59.95,66.5,60.83
2699,46.81,50.43,51.53,52.37,60.48,NA
2700,NA,NA,NA,68.62,74.52,78.45
2701,47.77,51.58,NA,61.32,67.85,NA
2702,NA,NA,NA,70.38,77.97,80.13
2703,50.46,NA,53.03,NA,51.38,NA
2704,NA,NA,NA,80.09,83.16,80.36
2705,NA,NA,NA,43.36,48.66,NA
2706,NA,NA,NA,62.49,NA,NA
2707,55.33,57.67,69.24,63.68,63.39,NA
2708,34.09,33.27,52.49,52.81,NA,NA
2709,65.06,71.23,72.73,NA,77.07,77.36
2710,54.44,NA,54.7,49.53,NA,NA
2711,NA,NA,NA,63.44,63.51,NA
2712,NA,NA,NA,57.21,61.87,NA
2713,NA,NA,NA,55.48,53.75,50.46
2714,NA,NA,NA,65.16,70.54,71.76
2715,NA,NA,NA,45.21,NA,NA
2716,61.2,58.59,67.42,70.96,72.62,76.34
2717,NA,NA,NA,70.57,70.35,72.66
2718,41.47,44.07,56.53,57.69,52.88,NA
2719,53.28,71.71,NA,71.27,75.9,80.98
2720,45.34,54.9,54.27,62.95,NA,NA
2721,44.05,50.65,NA,NA,NA,NA
2722,44.23,NA,40.78,38.49,54.19,NA
2723,42.99,52.34,55.43,57.2,NA,NA
2724,42.51,39.88,NA,NA,NA,NA
2725,NA,NA,NA,58.08,NA,58.63
2726,34.91,35.29,NA,NA,NA,NA
2727,NA,NA,NA,43.44,45.04,46.98
2728,NA,NA,NA,66.48,NA,NA
2729,67.88,72.88,74.94,80.78,82.3,80.33
2730,NA,NA,NA,66.94,67.31,66.03
2731,42.76,46.9,61.58,70.28,63.58,68.6
2732,69.71,71.99,66.38,NA,NA,NA
2733,NA,NA,NA,76.22,NA,NA
2734,39.91,NA,NA,NA,NA,NA
2735,NA,NA,NA,71.27,NA,73.44
2736,NA,NA,NA,77.92,82.73,91.67
2737,50.13,57.81,62.39,68.01,67.32,63.06
2738,45.36,38.17,NA,NA,NA,NA
2739,NA,NA,NA,59.16,54.27,61.99
2740,40.89,39.53,47.17,43.58,NA,NA
2741,62.24,NA,NA,NA,NA,NA
2742,41.45,NA,52.83,56.7,NA,NA
2743,NA,NA,NA,70.91,72.63,72.98
2744,NA,NA,NA,56.28,50.73,68.29
2745,NA,NA,NA,NA,35.41,NA
2746,37.87,48.96,53.68,57.97,57.02,49.7
2747,46.67,NA,NA,NA,NA,52.46
2748,37.82,NA,NA,NA,NA,NA
2749,NA,NA,NA,71.96,73.68,NA
2750,51.39,59.41,60.93,63.77,64.74,66.43
2751,NA,NA,NA,77.04,84.3,83.65
2752,51.02,NA,59.7,52.93,57.38,NA
2753,NA,NA,NA,64.97,66.94,NA
2754,NA,NA,NA,65.64,74.98,71.89
2755,55.99,49.66,45.37,64.76,NA,NA
2756,NA,NA,NA,65,NA,60.59
2757,55.33,56.92,NA,NA,NA,NA
2758,NA,NA,NA,51.51,54.7,52.59
2759,49.98,57.88,57.71,56.61,64.02,NA
2760,NA,NA,NA,63.47,72.63,70.21
2761,49.1,59.79,63.19,68.11,60.93,NA
2762,NA,NA,NA,51.97,NA,NA
2763,54.29,67.78,63.89,71.14,76.89,76.77
2764,NA,NA,NA,53.13,66.87,69.56
2765,44.28,47.66,44.38,60.84,64.7,61.73
2766,64.54,66.63,69.57,73.27,75.44,82.94
2767,NA,NA,NA,57.57,52.02,NA
2768,63.3,NA,59.35,67.46,65.55,NA
2769,NA,NA,NA,65.75,67.17,NA
2770,NA,NA,NA,55.77,61.39,58.15
2771,NA,NA,NA,72.48,70.21,72.89
2772,NA,NA,NA,50.12,NA,NA
2773,54.45,60.27,69.04,NA,78.2,NA
2774,NA,NA,NA,59.23,59.79,NA
2775,48.44,39.76,37.93,34.32,41.94,45.24
2776,54.32,NA,57.24,76.11,NA,NA
2777,NA,NA,NA,52.75,72.37,69.07
2778,NA,NA,NA,45.39,51.64,NA
2779,50.69,NA,NA,NA,NA,NA
2780,NA,NA,NA,68.49,NA,NA
2781,NA,NA,NA,41.55,NA,44.67
2782,NA,NA,NA,58.58,NA,71.71
2783,35.26,46.94,44.94,52.22,52.07,48.61
2784,37.21,NA,NA,NA,NA,NA
2785,NA,NA,NA,68.25,69.62,70.4
2786,NA,NA,NA,66.83,69.61,NA
2787,NA,NA,NA,47.24,55.13,NA
2788,47.02,66.45,74.09,76.43,NA,NA
2789,NA,NA,NA,75.78,76.38,79.76
2790,NA,NA,NA,56.7,60.26,68.27
2791,NA,NA,NA,55.01,54.06,60.14
2792,66.22,75.04,76.42,77.79,NA,NA
2793,35.37,31.73,47.08,NA,NA,42.32
2794,NA,NA,NA,64.26,71.92,76.56
2795,62.39,67.43,70.62,66.81,73.79,72.45
2796,NA,NA,NA,57.69,NA,NA
2797,69.47,68.36,69.88,76.34,80.97,85.53
2798,43.98,55.65,59.25,63.17,65.18,61.38
2799,27.46,37.93,39.83,NA,NA,NA
2800,52.91,58.22,66.61,62.38,73.25,74.37
2801,NA,NA,NA,74.92,78.02,NA
2802,NA,NA,NA,50.13,NA,NA
2803,NA,NA,NA,64.8,60.88,NA
2804,64.48,72.39,71.35,74.48,78.55,NA
2805,NA,NA,NA,64.43,65.28,65.55
2806,61.34,63.3,67.29,NA,NA,70.1
2807,NA,NA,NA,62.63,58.44,NA
2808,58.41,NA,NA,NA,NA,NA
2809,NA,NA,NA,60.81,64.63,63.54
2810,59.19,67.34,68.27,65.14,69,66.94
2811,NA,NA,NA,63.29,NA,52.9
2812,NA,NA,NA,64.07,76.84,69.72
2813,NA,NA,NA,51.73,NA,NA
2814,NA,NA,NA,56.28,NA,NA
2815,41.78,34.98,34,NA,NA,NA
2816,40.18,34.79,45.66,49.56,43.54,44.04
2817,NA,NA,NA,44.5,41.75,50.08
2818,43.09,53.94,50.41,NA,NA,NA
2819,NA,NA,NA,66.15,74.54,72.82
2820,50.18,NA,65.11,62.68,NA,NA
2821,52.54,44.87,52.57,52.72,NA,NA
2822,44.79,NA,NA,NA,NA,NA
2823,NA,NA,NA,62.93,63.69,NA
2824,NA,NA,NA,58.06,63.58,63.95
2825,56.31,56.76,65.6,65.61,68.39,70.38
2826,NA,NA,NA,59.37,66.9,NA
2827,54.99,66.86,61.23,NA,60.24,NA
2828,NA,NA,NA,71.47,72.84,NA
2829,NA,NA,NA,70.42,NA,62.98
2830,74.38,73.88,81.19,NA,NA,NA
2831,39.81,50.8,NA,NA,NA,NA
2832,53.03,59.46,64.23,69,75.3,76.2
2833,50.88,52.87,59.93,67.78,64.21,NA
2834,41.55,35.84,34.42,39.48,36.16,NA
2835,NA,NA,NA,50.82,NA,NA
2836,40.9,41.78,44.71,NA,59.31,NA
2837,NA,NA,NA,67.57,75.37,80.16
2838,NA,NA,NA,56.68,NA,63.03
2839,53.59,NA,63.66,NA,NA,NA
2840,59.04,63.47,63.28,55.99,NA,NA
2841,39.08,NA,38.94,49.36,NA,NA
2842,43.78,54.94,49.54,42.37,62.73,NA
2843,NA,NA,NA,65.7,69.96,66.09
2844,50.99,55.28,56.19,64.19,NA,71.24
2845,NA,NA,NA,73.15,NA,NA
2846,NA,NA,NA,76.16,84.68,84.14
2847,54.03,48.49,NA,NA,NA,NA
2848,58.75,57.44,67.85,70.68,NA,NA
2849,35.33,50.3,NA,NA,NA,NA
2850,58.26,60.71,71.32,66.03,NA,67.04
2851,37.28,44.76,49.2,51.31,46.59,46.85
2852,NA,NA,NA,40.4,57.87,NA
2853,59.58,59.42,66.5,69.24,72.79,65.29
2854,50.04,40.82,63.84,NA,81.44,NA
2855,NA,NA,NA,NA,NA,NA
2856,NA,NA,NA,82.04,NA,NA
2857,NA,NA,NA,42.11,61.49,NA
2858,49.04,59.21,59.96,59.36,NA,NA
2859,NA,NA,NA,69.22,72.02,75.39
2860,57.78,58.88,67.87,72.46,NA,75.52
2861,53,49.58,58.56,NA,57.29,50.16
2862,49.21,54.63,56.64,NA,60.23,NA
2863,40.36,50.5,NA,61.11,NA,NA
2864,59.84,62.81,70.87,72.44,75.5,77.72
2865,NA,NA,NA,61.23,68.78,69.86
2866,63.96,65.1,65.92,66.65,73.24,77.36
2867,42.42,54.61,59.21,NA,NA,61.98
2868,NA,NA,NA,59.41,59.49,NA
2869,NA,NA,NA,55.48,NA,NA
2870,35.18,34.81,51.07,48.45,46.37,NA
2871,NA,NA,NA,72.66,NA,NA
2872,52.15,62.18,57.93,61.56,67.67,66.83
2873,NA,35.12,NA,NA,NA,NA
2874,50,46.86,NA,NA,NA,NA
2875,NA,NA,NA,58.99,60.64,NA
2876,NA,NA,NA,54.6,NA,NA
2877,NA,NA,NA,72.91,81.34,82.07
2878,55.74,62.26,61.61,68.06,68.49,NA
2879,57.44,59.16,61.73,67.99,73.05,NA
2880,NA,NA,NA,74.23,75.91,72.02
2881,NA,NA,NA,64.66,NA,NA
2882,NA,NA,NA,54.21,60.86,57.38
2883,NA,NA,NA,79.31,81.32,NA
2884,NA,NA,NA,56.96,69.57,77.91
2885,43.85,44.43,55.68,51.92,55.64,46.37
2886,69.44,69.27,78.52,84.22,86.51,86.39
2887,NA,NA,NA,59.71,NA,NA
2888,52.98,NA,NA,NA,60.66,55.84
2889,NA,NA,NA,55.41,59.35,NA
2890,NA,NA,NA,70.47,72.92,NA
2891,NA,NA,NA,62.69,57.13,61.23
2892,NA,NA,NA,61.56,62.86,63.8
2893,48.76,NA,NA,NA,NA,NA
2894,60,57.06,68.34,74.51,73.5,72.13
2895,NA,NA,NA,NA,72.95,72.31
2896,NA,NA,NA,65.74,NA,NA
2897,48.33,NA,50.1,54.09,60.95,54.35
2898,NA,NA,NA,68.77,64.91,72.83
2899,NA,NA,NA,71.11,68.26,60.3
2900,NA,NA,NA,65.1,66.94,67.25
2901,50.6,62.3,69.28,77.34,72.03,66.75
2902,NA,NA,NA,70.83,68.88,72.47
2903,44.39,47.89,61.58,60.28,64.58,NA
2904,61.78,69.3,72.32,72.73,NA,NA
2905,NA,NA,NA,44.64,46.92,48.37
2906,NA,NA,NA,64.47,62.11,NA
2907,NA,NA,NA,70.04,NA,69.51
2908,49.6,50.63,56.94,54.47,58.76,53.4
2909,48.54,49.65,53.08,NA,NA,NA
2910,NA,NA,NA,44.48,NA,NA
2911,44.19,46.51,48.63,47.43,52.25,47.44
2912,34.08,NA,NA,NA,NA,NA
2913,51.26,NA,NA,NA,NA,61.41
2914,63.57,63.12,75.4,NA,NA,NA
2915,NA,NA,NA,58.87,58.18,55.14
2916,39.55,42.78,NA,NA,NA,NA
2917,NA,NA,NA,57.79,63.2,63.43
2918,73.49,76.51,74.7,84.15,85.37,87.36
2919,NA,NA,NA,36.97,39.4,34.42
2920,NA,NA,NA,68.47,69.78,63.65
2921,44.1,46.04,52.2,52.06,73.19,NA
2922,NA,NA,NA,63.71,NA,63.48
2923,NA,NA,NA,60.34,62.6,60.2
2924,67.51,62.71,NA,NA,NA,NA
2925,NA,NA,NA,71.53,76.9,78.11
2926,55.81,53.86,NA,65.18,69.2,NA
2927,46.4,52.07,59.82,NA,NA,NA
2928,73.16,67.37,78.06,82.52,82.07,NA
2929,NA,NA,NA,54.02,NA,NA
2930,NA,NA,NA,67.82,62.67,NA
2931,38.97,NA,NA,NA,NA,NA
2932,NA,NA,NA,58.71,62.99,64.43
2933,NA,NA,NA,90.72,84.83,89.69
2934,NA,NA,NA,41.87,NA,NA
2935,58.81,66.65,66.17,68.67,70.7,72.46
2936,53.14,54.54,60.7,63.02,67.35,64.17
2937,60.42,NA,NA,NA,NA,NA
2938,NA,NA,NA,70.49,76.05,78.77
2939,51.02,52.41,54.5,45.29,NA,NA
2940,51.38,58.95,61.7,63.59,63.71,65.34
2941,33.41,25.16,NA,NA,NA,NA
2942,NA,NA,NA,80.18,79.67,NA
2943,NA,NA,NA,48.81,61.11,NA
2944,45.57,51.42,54.94,51.68,53.75,50.87
2945,NA,NA,NA,60.22,59.62,66.27
2946,NA,NA,NA,52.67,58.39,62.39
2947,40.7,53.67,56.97,55.02,55.83,56.53
2948,NA,NA,NA,59.13,53.68,52.92
2949,NA,NA,NA,60.15,NA,NA
2950,NA,NA,NA,62.04,NA,NA
2951,NA,NA,NA,NA,NA,NA
2952,NA,NA,NA,65.29,65,66.14
2953,78.3,76.4,77.6,86.33,84.54,81.26
2954,NA,NA,NA,52.69,69.28,NA
2955,56.91,55.3,70.43,71.3,67.96,69.2
2956,59.86,56.25,66.25,66.49,70.4,NA
2957,66.49,67.77,71.63,79.52,80.14,83.73
2958,NA,NA,NA,54.8,NA,NA
2959,NA,NA,NA,61.16,NA,NA
2960,NA,NA,NA,65.44,69.59,68.78
2961,NA,NA,NA,52.19,50.61,50.2
2962,58.79,54.56,65.1,69.82,71.25,NA
2963,NA,NA,NA,56.48,67.36,66.74
2964,NA,NA,NA,74.66,80.12,82.07
2965,NA,NA,NA,52.18,53.21,NA
2966,NA,NA,NA,75.51,85.96,86.23
2967,41.09,48.23,57.29,60.25,NA,59.86
2968,NA,NA,NA,58.93,65.82,63.25
2969,39.7,52.34,54.96,51.85,NA,48.92
2970,39.3,37.28,60.71,59.8,52.21,52.34
2971,NA,NA,NA,47.58,55.6,51.58
2972,47.92,48.01,NA,NA,NA,NA
2973,NA,NA,NA,69.31,71.87,NA
2974,NA,NA,NA,46.91,NA,NA
2975,51.55,NA,54.99,NA,NA,NA
2976,46.55,53.37,61.45,NA,61.46,NA
2977,51.79,NA,48.25,NA,NA,NA
2978,55.92,66.81,NA,68.84,NA,57.43
2979,NA,NA,NA,55.47,64.51,62.12
2980,NA,NA,NA,50.15,NA,NA
2981,NA,NA,NA,65.7,67.39,66.18
2982,49.9,58.18,NA,NA,NA,NA
2983,NA,NA,NA,52.03,NA,61.63
2984,34.39,35.48,NA,NA,48.79,NA
2985,55.19,46.52,64.96,61.56,64.43,69.76
2986,30.75,36.83,NA,NA,41.14,NA
2987,NA,NA,NA,63.65,NA,NA
2988,NA,NA,NA,69.78,71.71,75.04
2989,NA,NA,NA,71.25,69.66,72.5
2990,NA,NA,NA,71.92,73.61,78.64
2991,42.26,42.73,44.45,50.25,NA,56.03
2992,NA,NA,NA,53.52,61.27,58.46
2993,NA,NA,NA,80.43,80.8,80.28
2994,NA,NA,NA,45.65,52.15,59.56
2995,NA,NA,NA,60.66,73.82,73.47
2996,NA,NA,NA,47.42,54.61,49.93
2997,NA,NA,NA,66.38,66.4,NA
2998,NA,NA,NA,56.97,58.45,55.23
2999,57.3,NA,NA,NA,55.74,NA
