         *         *         *    45.480    42.420         *    41.505     0.691    44.349    -0.179     0.001     0.011     0.309     0.680     4.000
    33.130    34.290         *    30.910    40.870         *    33.830     1.357    31.386     2.360     0.000     0.003     0.555     0.442     3.000
         *         *         *    63.480    65.020    64.320    53.004     2.867    54.874     2.486     0.004     0.614     0.363     0.019     2.000
    54.930         *         *         *         *         *    54.362     2.757    56.150     2.835     0.004     0.624     0.268     0.104     2.000
    46.930    42.970    53.630    65.350         *         *    46.066     4.277    46.510     3.893     0.142     0.142     0.711     0.005     3.000
    26.750         *         *         *         *         *    32.954     3.498    33.327     3.149     0.194     0.004     0.664     0.139     3.000
         *         *         *    76.340    79.140    74.980    64.086     3.164    64.337     3.110     0.002     0.956     0.042     0.000     2.000
         *         *         *    61.860         *    64.860    51.649     2.944    54.210     2.501     0.006     0.531     0.439     0.024     2.000
    41.690    42.920    65.820    64.900         *         *    44.439     6.192    41.601     7.872     0.556     0.071     0.373     0.000     1.000
         *         *         *    41.740    53.550    52.600    40.155     2.705    38.780     3.063     0.008     0.051     0.812     0.128     3.000
    48.570    64.170    64.350    69.030    70.270    82.070    56.356     3.913    57.411     3.632     0.007     0.646     0.347     0.000     2.000
    46.460    46.330    52.090    55.720    53.250    60.130    45.001     2.777    44.182     3.020     0.000     0.188     0.760     0.052     3.000
         *         *         *    49.290    45.110    49.820    42.576     1.272    46.918     0.082     0.000     0.029     0.444     0.526     4.000
         *         *         *    64.860    67.450    69.560    54.916     3.081    56.606     2.725     0.010     0.689     0.296     0.005     2.000
         *         *         *    39.250         *         *    38.922     1.077    41.883    -0.258     0.005     0.012     0.422     0.561     4.000
    56.800         *         *         *         *         *    55.962     2.788    57.341     2.860     0.003     0.709     0.205     0.083     2.000
    65.500    69.090    73.310    77.350    81.120    84.640    65.900     3.561    65.963     3.544     0.000     0.978     0.022     0.000     2.000
         *         *         *    37.090    37.440    38.310    38.542    -0.046    39.873    -0.409     0.000     0.001     0.140     0.859     4.000
