         *         *         *    45.480    42.420         *    42.115     0.479    45.476    -0.639     0.000     0.336     0.003     0.661     0.000     4.000
    33.130    34.290         *    30.910    40.870         *    34.481     0.992    35.953     0.263     0.000     0.269     0.000     0.731     0.000     4.000
         *         *         *    63.480    65.020    64.320    52.600     2.958    52.285     3.061     0.020     0.074     0.906     0.000     0.001     3.000
    54.930         *         *         *         *         *    54.004     2.827    53.814     2.985     0.218     0.167     0.568     0.044     0.003     3.000
    46.930    42.970    53.630    65.350         *         *    46.475     4.093    47.134     3.668     0.084     0.068     0.750     0.000     0.099     3.000
    26.750         *         *         *         *         *    32.589     3.440    32.710     3.107     0.001     0.504     0.127     0.235     0.134     2.000
         *         *         *    76.340    79.140    74.980    63.646     3.361    63.109     3.572     0.847     0.000     0.150     0.000     0.002     1.000
         *         *         *    61.860         *    64.860    51.416     3.002    51.053     3.166     0.022     0.115     0.862     0.000     0.001     3.000
    41.690    42.920    65.820    64.900         *         *    44.823     5.951    41.310     7.963     0.141     0.009     0.362     0.000     0.489     5.000
         *         *         *    41.740    53.550    52.600    40.820     2.518    41.179     2.392     0.000     0.890     0.095     0.015     0.000     2.000
    48.570    64.170    64.350    69.030    70.270    82.070    55.721     4.193    55.425     4.365     0.842     0.000     0.152     0.000     0.006     1.000
    46.460    46.330    52.090    55.720    53.250    60.130    45.841     2.457    46.734     2.024     0.000     0.712     0.288     0.000     0.000     2.000
         *         *         *    49.290    45.110    49.820    41.857     1.481    38.692     2.415     0.000     0.703     0.008     0.289     0.000     2.000
         *         *         *    64.860    67.450    69.560    54.760     3.064    55.120     2.932     0.093     0.015     0.887     0.000     0.005     3.000
         *         *         *    39.250         *         *    38.946     1.020    41.366    -0.334     0.000     0.411     0.021     0.569     0.000     4.000
    56.800         *         *         *         *         *    55.526     2.864    55.072     2.878     0.273     0.136     0.554     0.035     0.002     3.000
    65.500    69.090    73.310    77.350    81.120    84.640    66.024     3.516    65.997     3.531     0.987     0.000     0.012     0.000     0.000     1.000
         *         *         *    37.090    37.440    38.310    38.460    -0.049    38.857    -0.166     0.000     0.036     0.000     0.964     0.000     4.000
         *         *         *    75.810    82.050         *    66.013     3.511    66.135     3.499     0.960     0.000     0.027     0.000     0.013     1.000
         *         *         *    75.050    75.050    80.210    61.676     3.596    61.286     3.770     0.844     0.000     0.146     0.000     0.010     1.000
         *         *         *    44.580    57.040    53.780    43.265     2.552    44.406     2.168     0.000     0.777     0.218     0.005     0.000     2.000
    63.140    69.450    67.580    66.260         *         *    61.691     2.790    61.945     2.285     0.396     0.025     0.578     0.000     0.000     3.000
    42.360    38.330         *    58.930         *         *    42.282     3.924    42.543     3.994     0.019     0.243     0.664     0.002     0.073     3.000
         *         *         *    59.590    66.700    64.730    51.990     3.105    51.875     3.142     0.028     0.049     0.921     0.000     0.002     3.000
         *         *         *    75.220    76.680    81.400    62.631     3.625    62.484     3.707     0.902     0.000     0.086     0.000     0.011     1.000
         *         *         *    44.700    50.760    53.250    40.792     2.405    40.815     2.385     0.000     0.909     0.062     0.029     0.000     2.000
         *         *         *    69.910    70.070    70.740    57.832     2.975    58.669     2.660     0.213     0.006     0.778     0.000     0.003     3.000
    42.220         *    58.070    58.810    55.810    61.100    46.607     2.985    45.409     3.515     0.001     0.340     0.659     0.000     0.000     3.000
         *         *         *    65.660         *         *    54.871     3.291    55.051     2.928     0.239     0.048     0.684     0.000     0.028     3.000
         *         *         *    62.630         *         *    52.531     3.216    52.726     3.094     0.124     0.101     0.746     0.001     0.028     3.000
    62.870    70.370         *         *         *         *    63.706     3.169    64.103     3.577     0.706     0.013     0.280     0.001     0.000     1.000
    49.900    36.200    45.480    47.880    51.530    50.220    41.915     2.171    41.854     2.195     0.000     0.965     0.016     0.019     0.000     2.000
    58.540    53.940    64.920    62.940    65.670         *    54.997     2.851    54.974     2.854     0.052     0.045     0.902     0.000     0.000     3.000
    41.000    56.530    55.490         *    51.250    42.660    49.048     0.163    51.542    -0.958     0.000     0.437     0.001     0.563     0.000     4.000
         *         *         *    50.580    58.170    60.390    45.299     2.978    42.961     3.762     0.001     0.427     0.571     0.000     0.001     3.000
         *         *         *    59.480    58.070    64.850    48.263     3.026    46.994     3.451     0.003     0.235     0.761     0.000     0.001     3.000
    35.130    44.930         *    37.510    41.130         *    39.879     0.203    40.677    -0.192     0.000     0.146     0.000     0.854     0.000     4.000
    60.800    59.120    62.440    62.510    70.060    66.130    56.923     2.665    56.926     2.659     0.038     0.026     0.936     0.000     0.000     3.000
    54.500    63.890    63.110    70.720    66.910         *    57.232     2.929    57.532     2.723     0.171     0.012     0.817     0.000     0.000     3.000
         *         *         *    58.920         *    63.410    49.494     3.002    48.798     3.327     0.010     0.198     0.791     0.000     0.001     3.000
    46.770    44.100         *    58.250         *    62.160    45.788     3.358    45.418     3.645     0.006     0.193     0.800     0.000     0.000     3.000
