         *         *         *    45.480    42.420         *    42.237     0.448    45.401    -0.631     0.001     0.000     0.000     0.348     0.647     0.004     5.000
    33.130    34.290         *    30.910    40.870         *    34.946     0.862    36.744    -0.021     0.000     0.000     0.000     0.326     0.674     0.000     5.000
         *         *         *    63.480    65.020    64.320    52.824     2.916    53.618     2.758     0.800     0.000     0.019     0.058     0.000     0.124     1.000
    54.930         *         *         *         *         *    54.263     2.772    54.613     2.729     0.530     0.004     0.218     0.159     0.040     0.049     1.000
    46.930    42.970    53.630    65.350         *         *    46.007     4.260    44.880     4.604     0.344     0.082     0.051     0.059     0.000     0.464     6.000
    26.750         *         *         *         *         *    33.058     3.705    32.520     5.333     0.018     0.057     0.000     0.328     0.179     0.417     6.000
         *         *         *    76.340    79.140    74.980    63.456     3.396    62.717     3.667     0.172     0.002     0.822     0.000     0.000     0.003     3.000
         *         *         *    61.860         *    64.860    51.496     2.998    52.665     2.821     0.722     0.000     0.021     0.097     0.000     0.160     1.000
    41.690    42.920    65.820    64.900         *         *    44.338     6.234    41.265     8.230     0.136     0.509     0.072     0.006     0.000     0.277     2.000
         *         *         *    41.740    53.550    52.600    40.801     2.533    42.142     2.141     0.039     0.000     0.000     0.827     0.014     0.119     4.000
    48.570    64.170    64.350    69.030    70.270    82.070    56.191     4.046    56.014     4.179     0.095     0.003     0.848     0.000     0.000     0.055     3.000
    46.460    46.330    52.090    55.720    53.250    60.130    46.251     2.307    47.103     1.887     0.241     0.000     0.000     0.723     0.000     0.036     4.000
         *         *         *    49.290    45.110    49.820    42.079     1.429    39.457     2.217     0.004     0.000     0.000     0.722     0.268     0.007     4.000
         *         *         *    64.860    67.450    69.560    55.176     2.967    56.425     2.637     0.785     0.002     0.087     0.011     0.000     0.115     1.000
         *         *         *    39.250         *         *    39.339     0.910    41.596    -0.413     0.006     0.000     0.000     0.383     0.573     0.038     5.000
    56.800         *         *         *         *         *    55.817     2.827    55.778     2.654     0.537     0.003     0.274     0.122     0.030     0.034     1.000
    65.500    69.090    73.310    77.350    81.120    84.640    65.940     3.547    65.905     3.565     0.012     0.000     0.987     0.000     0.000     0.000     3.000
         *         *         *    37.090    37.440    38.310    38.956    -0.172    39.352    -0.291     0.000     0.000     0.000     0.039     0.961     0.000     5.000
         *         *         *    75.810    82.050         *    65.598     3.618    65.913     3.557     0.030     0.026     0.943     0.000     0.000     0.001     3.000
         *         *         *    75.050    75.050    80.210    61.780     3.570    61.260     3.781     0.156     0.010     0.827     0.000     0.000     0.006     3.000
         *         *         *    44.580    57.040    53.780    42.710     2.696    45.108     1.978     0.105     0.000     0.000     0.708     0.005     0.183     4.000
    63.140    69.450    67.580    66.260         *         *    61.680     2.774    62.053     2.246     0.621     0.000     0.362     0.013     0.000     0.004     1.000
    42.360    38.330         *    58.930         *         *    41.479     4.268    40.356     4.859     0.180     0.035     0.007     0.166     0.001     0.609     6.000
         *         *         *    59.590    66.700    64.730    52.085     3.085    53.383     2.797     0.758     0.001     0.026     0.039     0.000     0.176     1.000
         *         *         *    75.220    76.680    81.400    62.619     3.628    62.420     3.727     0.094     0.013     0.890     0.000     0.000     0.004     3.000
         *         *         *    44.700    50.760    53.250    41.103     2.331    41.727     2.148     0.027     0.000     0.000     0.874     0.028     0.072     4.000
         *         *         *    69.910    70.070    70.740    58.321     2.860    59.618     2.448     0.746     0.001     0.199     0.004     0.000     0.050     1.000
    42.220         *    58.070    58.810    55.810    61.100    46.875     2.904    46.640     3.159     0.526     0.000     0.001     0.335     0.000     0.137     1.000
         *         *         *    65.660         *         *    55.265     3.206    56.402     2.633     0.619     0.026     0.227     0.039     0.000     0.089     1.000
         *         *         *    62.630         *         *    52.777     3.161    54.268     2.752     0.635     0.021     0.115     0.088     0.001     0.140     1.000
    62.870    70.370         *         *         *         *    63.651     3.176    64.015     3.630     0.308     0.000     0.682     0.007     0.000     0.002     3.000
    49.900    36.200    45.480    47.880    51.530    50.220    42.202     2.059    42.152     2.077     0.012     0.000     0.000     0.972     0.014     0.001     4.000
    58.540    53.940    64.920    62.940    65.670         *    55.346     2.736    55.545     2.657     0.875     0.000     0.053     0.037     0.000     0.036     1.000
    41.000    56.530    55.490         *    51.250    42.660    48.674     0.278    51.385    -0.917     0.001     0.000     0.000     0.451     0.548     0.000     5.000
         *         *         *    50.580    58.170    60.390    44.097     3.277    48.950     1.782     0.306     0.000     0.001     0.363     0.000     0.330     4.000
         *         *         *    59.480    58.070    64.850    47.791     3.146    48.829     3.033     0.548     0.000     0.003     0.207     0.000     0.242     1.000
    35.130    44.930         *    37.510    41.130         *    40.062     0.151    41.040    -0.329     0.000     0.000     0.000     0.178     0.822     0.000     5.000
    60.800    59.120    62.440    62.510    70.060    66.130    57.221     2.572    57.336     2.528     0.933     0.000     0.034     0.019     0.000     0.014     1.000
    54.500    63.890    63.110    70.720    66.910         *    57.569     2.819    58.079     2.540     0.794     0.000     0.170     0.009     0.000     0.027     1.000
         *         *         *    58.920         *    63.410    49.261     3.066    50.609     2.936     0.612     0.000     0.009     0.174     0.000     0.205     1.000
    46.770    44.100         *    58.250         *    62.160    45.564     3.436    46.665     3.227     0.500     0.000     0.006     0.181     0.000     0.312     1.000
         *         *         *    60.830         *         *    51.289     3.141    53.000     2.823     0.604     0.018     0.072     0.133     0.002     0.172     1.000
    74.590    71.100    76.640    82.700    87.700    85.920    71.200     3.251    71.192     3.255     0.003     0.000     0.997     0.000     0.000     0.000     3.000
    52.750    69.480         *         *         *         *    59.108     3.270    59.724     3.917     0.427     0.005     0.531     0.021     0.001     0.016     3.000
    48.240    55.280         *         *         *         *    50.407     2.920    51.184     2.953     0.503     0.016     0.093     0.228     0.033     0.126     1.000
         *         *         *    62.110         *    67.500    52.368     3.081    53.800     2.776     0.737     0.001     0.043     0.047     0.000     0.171     1.000
         *         *         *    50.430    54.420    60.700    43.091     3.066    46.994     1.886     0.194     0.000     0.000     0.520     0.001     0.284     4.000
         *         *         *    66.460         *         *    55.913     3.224    56.965     2.601     0.600     0.026     0.265     0.031     0.000     0.078     1.000
         *         *         *    47.250         *         *    42.362     2.169    42.527     2.090     0.080     0.001     0.000     0.596     0.171     0.152     4.000
    47.270    47.980    49.510    53.690    61.730    60.570    45.923     3.338    46.588     3.211     0.591     0.000     0.003     0.162     0.000     0.244     1.000
         *         *         *    41.070         *         *    40.026     1.185    42.878    -0.485     0.012     0.000     0.000     0.459     0.472     0.056     5.000
    54.330    56.620    61.160    58.090         *    59.950    52.997     2.170    52.377     2.733     0.557     0.000     0.002     0.431     0.001     0.009     1.000
         *         *         *    51.560         *    43.160    45.901     0.336    49.269    -0.863     0.002     0.000     0.000     0.400     0.596     0.001     5.000
         *         *         *    69.980         *    64.050    56.061     2.654    56.503     2.568     0.852     0.000     0.044     0.052     0.000     0.051     1.000
    26.140    31.320    42.620    44.380         *         *    31.153     4.482    29.677     5.491     0.014     0.005     0.000     0.337     0.014     0.631     6.000
         *         *         *    75.900    75.690    81.030    62.395     3.588    62.032     3.741     0.120     0.010     0.866     0.000     0.000     0.004     3.000
         *         *         *    60.900    63.180    70.820    51.239     3.293    53.212     2.834     0.691     0.003     0.036     0.024     0.000     0.246     1.000
    48.770    61.100    61.940    61.890         *         *    53.802     3.076    54.246     2.776     0.696     0.003     0.161     0.055     0.000     0.085     1.000
         *         *         *    52.570    53.590    50.780    45.101     1.930    45.141     1.909     0.044     0.000     0.000     0.882     0.045     0.029     4.000
         *         *         *    51.100         *         *    44.257     2.645    45.239     1.938     0.191     0.003     0.002     0.524     0.068     0.212     4.000
    41.740         *         *         *         *         *    43.376     2.758    43.028     2.079     0.192     0.024     0.017     0.391     0.142     0.234     4.000
    29.490    28.470    44.650    40.690    33.070    36.770    35.550     0.095    35.759     0.006     0.000     0.000     0.000     0.033     0.967     0.000     5.000
    57.010         *    61.700    66.540    71.670    68.140    57.301     2.872    58.046     2.570     0.790     0.000     0.164     0.003     0.000     0.043     1.000
    49.230    49.750    43.090    55.750    49.700    53.910    45.438     1.779    45.272     1.845     0.015     0.000     0.000     0.952     0.033     0.000     4.000
    50.820    54.040    58.290         *    55.550         *    50.256     1.953    50.714     1.574     0.278     0.000     0.000     0.701     0.010     0.010     4.000
         *         *         *    52.660    58.480         *    45.203     3.190    49.246     1.740     0.331     0.001     0.002     0.356     0.002     0.308     4.000
         *         *         *    54.750    57.160    59.320    46.124     2.797    49.487     1.723     0.310     0.000     0.000     0.492     0.001     0.197     4.000
         *         *         *    76.070    80.050    76.600    63.898     3.473    63.452     3.640     0.112     0.003     0.883     0.000     0.000     0.002     3.000
    48.760    44.890    52.990    59.620    65.490         *    46.925     3.991    45.162     4.578     0.400     0.002     0.049     0.012     0.000     0.537     6.000
    69.680    65.680    70.320    74.750    76.470    77.700    64.183     3.101    63.256     3.561     0.314     0.000     0.684     0.000     0.000     0.002     3.000
    54.850         *    66.910    72.520    73.890    75.380    58.631     3.683    58.011     3.986     0.202     0.000     0.773     0.000     0.000     0.025     3.000
         *         *         *    64.450    68.460    70.550    55.574     3.019    57.037     2.613     0.751     0.003     0.124     0.007     0.000     0.114     1.000
         *         *         *    76.990    80.300    84.870    65.427     3.604    65.603     3.573     0.023     0.016     0.960     0.000     0.000     0.001     3.000
    54.220    52.140         *         *         *         *    51.640     2.589    52.246     2.869     0.529     0.005     0.089     0.246     0.056     0.075     1.000
         *         *         *    53.940         *         *    46.006     2.893    47.239     1.826     0.313     0.005     0.007     0.412     0.030     0.233     4.000
         *         *         *    64.140    69.440    69.870    55.866     3.005    57.314     2.597     0.750     0.003     0.133     0.007     0.000     0.106     1.000
    44.200    48.800         *         *         *         *    45.540     2.797    45.469     1.928     0.269     0.020     0.019     0.384     0.091     0.217     4.000
    39.440    43.630    50.990    52.130    50.540    45.200    42.485     1.982    42.336     2.043     0.009     0.000     0.000     0.962     0.028     0.001     4.000
         *         *         *    46.950    52.660    55.430    42.359     2.491    43.883     2.036     0.064     0.000     0.000     0.802     0.010     0.124     4.000
    48.870    58.050         *         *    61.060         *    51.189     2.761    51.258     2.894     0.732     0.000     0.012     0.187     0.000     0.069     1.000
         *         *         *    58.050    62.090         *    49.045     3.236    50.613     2.953     0.600     0.003     0.013     0.129     0.000     0.255     1.000
         *         *         *    49.880    67.890    68.710    47.792     3.920    51.832     2.960     0.477     0.027     0.038     0.012     0.000     0.446     1.000
         *         *         *    51.740         *    53.390    44.522     2.133    44.978     1.938     0.081     0.000     0.000     0.823     0.035     0.060     4.000
    52.480    49.330    60.970         *         *         *    51.169     3.028    51.698     2.921     0.588     0.011     0.094     0.172     0.008     0.127     1.000
    58.670    57.330    63.450    62.620    62.560    58.840    55.169     1.983    54.083     2.564     0.561     0.000     0.001     0.436     0.000     0.002     1.000
         *         *         *    58.640    62.430    66.950    49.475     3.311    51.305     2.923     0.658     0.001     0.013     0.062     0.000     0.266     1.000
    55.470         *         *         *         *         *    54.715     2.788    54.949     2.707     0.534     0.004     0.233     0.148     0.037     0.044     1.000
         *         *         *    56.720    67.270    67.600    51.261     3.335    53.394     2.831     0.676     0.005     0.043     0.020     0.000     0.257     1.000
    54.000    49.560         *         *         *         *    50.328     2.415    51.123     2.934     0.459     0.004     0.056     0.307     0.089     0.085     1.000
    56.300    69.560    67.830         *         *         *    60.833     3.289    60.874     3.834     0.364     0.002     0.619     0.007     0.000     0.007     3.000
         *         *         *    53.160         *         *    45.495     2.834    46.690     1.857     0.276     0.005     0.005     0.446     0.038     0.230     4.000
    37.100    34.860    28.660    43.670    37.900         *    36.683     0.342    37.592    -0.106     0.000     0.000     0.000     0.166     0.834     0.000     5.000
    49.580         *         *    64.120         *         *    52.086     3.300    52.930     2.872     0.609     0.010     0.158     0.065     0.000     0.158     1.000
    47.050    48.070    42.290         *         *         *    44.643     1.389    44.154     1.969     0.094     0.000     0.001     0.505     0.334     0.066     4.000
         *         *         *    48.380    51.810    62.320    41.009     3.267    45.323     1.994     0.135     0.000     0.000     0.523     0.001     0.340     4.000
