         *         *         *    45.480    42.420         *    41.317     0.734    43.470     0.072     0.244     0.742     0.014     2.000
    33.130    34.290         *    30.910    40.870         *    34.186     1.227    36.226     0.392     0.403     0.593     0.003     2.000
         *         *         *    63.480    65.020    64.320    53.179     2.823    55.380     2.346     0.314     0.028     0.657     3.000
    54.930         *         *         *         *         *    54.441     2.773    56.179     2.778     0.221     0.115     0.664     3.000
    46.930    42.970    53.630    65.350         *         *    46.134     4.204    45.622     4.409     0.856     0.012     0.131     1.000
    26.750         *         *         *         *         *    33.439     2.939    33.294     3.610     0.803     0.193     0.004     1.000
         *         *         *    76.340    79.140    74.980    63.982     3.177    64.271     3.113     0.040     0.001     0.959     3.000
         *         *         *    61.860         *    64.860    51.672     2.942    54.673     2.366     0.395     0.037     0.568     3.000
    41.690    42.920    65.820    64.900         *         *    46.948     4.708    46.566     4.854     0.892     0.003     0.106     1.000
         *         *         *    41.740    53.550    52.600    39.962     2.762    37.752     3.342     0.742     0.199     0.058     1.000
    48.570    64.170    64.350    69.030    70.270    82.070    55.643     4.160    57.070     3.764     0.384     0.000     0.616     3.000
    46.460    46.330    52.090    55.720    53.250    60.130    45.116     2.731    43.652     3.191     0.648     0.132     0.220     1.000
         *         *         *    49.290    45.110    49.820    42.574     1.262    45.761     0.383     0.347     0.615     0.038     2.000
         *         *         *    64.860    67.450    69.560    54.849     3.097    56.882     2.649     0.286     0.010     0.705     3.000
         *         *         *    39.250         *         *    38.825     1.122    41.255     0.010     0.364     0.623     0.014     2.000
    56.800         *         *         *         *         *    56.041     2.786    57.340     2.800     0.163     0.089     0.748     3.000
    65.500    69.090    73.310    77.350    81.120    84.640    65.636     3.648    65.698     3.631     0.017     0.000     0.983     3.000
         *         *         *    37.090    37.440    38.310    38.247     0.033    39.188    -0.223     0.104     0.894     0.002     2.000
         *         *         *    75.810    82.050         *    65.270     3.706    65.623     3.624     0.050     0.000     0.950     3.000
         *         *         *    75.050    75.050    80.210    62.250     3.372    62.837     3.242     0.082     0.001     0.917     3.000
         *         *         *    44.580    57.040    53.780    41.928     2.921    39.773     3.469     0.739     0.154     0.107     1.000
    63.140    69.450    67.580    66.260         *         *    61.937     2.624    62.001     2.611     0.020     0.008     0.972     3.000
    42.360    38.330         *    58.930         *         *    41.935     4.018    41.675     4.144     0.931     0.025     0.045     1.000
         *         *         *    59.590    66.700    64.730    52.089     3.098    54.920     2.477     0.400     0.021     0.579     3.000
         *         *         *    75.220    76.680    81.400    62.976     3.466    63.505     3.348     0.074     0.000     0.926     3.000
         *         *         *    44.700    50.760    53.250    40.473     2.489    37.644     3.237     0.673     0.268     0.059     1.000
         *         *         *    69.910    70.070    70.740    58.140     2.949    59.207     2.714     0.150     0.005     0.845     3.000
    42.220         *    58.070    58.810    55.810    61.100    46.163     3.088    44.645     3.505     0.673     0.060     0.267     1.000
         *         *         *    65.660         *         *    55.543     3.161    57.632     2.766     0.271     0.018     0.711     3.000
         *         *         *    62.630         *         *    53.003     3.138    55.861     2.616     0.369     0.036     0.595     3.000
    62.870    70.370         *         *         *         *    63.592     3.089    63.676     3.074     0.020     0.005     0.975     3.000
    49.900    36.200    45.480    47.880    51.530    50.220    42.584     1.880    40.196     2.714     0.492     0.424     0.084     1.000
    58.540    53.940    64.920    62.940    65.670         *    55.575     2.691    56.093     2.544     0.146     0.022     0.833     3.000
    41.000    56.530    55.490         *    51.250    42.660    48.743     0.291    48.983     0.175     0.032     0.888     0.080     2.000
         *         *         *    50.580    58.170    60.390    44.210     3.237    42.164     3.725     0.734     0.075     0.191     1.000
         *         *         *    59.480    58.070    64.850    48.028     3.053    44.799     3.797     0.565     0.059     0.376     1.000
    35.130    44.930         *    37.510    41.130         *    39.558     0.431    40.257     0.142     0.137     0.855     0.008     2.000
